path,name,set_id,composer_path,composer_name,composer_gender,desc,sets,scores,scores_paths,track_names,contains_piano_track?,piano_scores_paths,paths_type0_piano,piano_merged_type0_chunks_paths
"Abbott,_Jane_Bingham/_/Just_for_Today",Just for Today,5106766,"Abbott,_Jane_Bingham",Jane Bingham Abbott,Female,"US pianist, singer and composer",1,2,"../Lieder/scores/Abbott,_Jane_Bingham/_/Just_for_Today/lc6583477.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling-in-symbolic-music/train data/merged piano scores/Abbott,_Jane_Bingham/_/Just_for_Today/lc6583477.mid_merged_piano.mid']","../../author-profiling-in-symbolic-music/train data/merged piano scores/Abbott,_Jane_Bingham/_/Just_for_Today/lc6583477.mid_merged_piano_type0.mid","../../train data/merged piano scores chunks/Abbott,_Jane_Bingham/_/Just_for_Today/lc6583477.mid_merged_piano_type0.midchunk0.midi"
"Abbott,_Jane_Bingham/_/Just_for_Today",Just for Today,5106766,"Abbott,_Jane_Bingham",Jane Bingham Abbott,Female,"US pianist, singer and composer",1,2,"../Lieder/scores/Abbott,_Jane_Bingham/_/Just_for_Today/lc6583477.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling-in-symbolic-music/train data/merged piano scores/Abbott,_Jane_Bingham/_/Just_for_Today/lc6583477.mid_merged_piano.mid']","../../author-profiling-in-symbolic-music/train data/merged piano scores/Abbott,_Jane_Bingham/_/Just_for_Today/lc6583477.mid_merged_piano_type0.mid","../../train data/merged piano scores chunks/Abbott,_Jane_Bingham/_/Just_for_Today/lc6583477.mid_merged_piano_type0.midchunk1.midi"
"Abbott,_Jane_Bingham/_/Think_of_Today",Think of Today,5106766,"Abbott,_Jane_Bingham",Jane Bingham Abbott,Female,"US pianist, singer and composer",1,2,"../Lieder/scores/Abbott,_Jane_Bingham/_/Think_of_Today/lc6583512.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling-in-symbolic-music/train data/merged piano scores/Abbott,_Jane_Bingham/_/Think_of_Today/lc6583512.mid_merged_piano.mid']","../../author-profiling-in-symbolic-music/train data/merged piano scores/Abbott,_Jane_Bingham/_/Think_of_Today/lc6583512.mid_merged_piano_type0.mid","../../train data/merged piano scores chunks/Abbott,_Jane_Bingham/_/Think_of_Today/lc6583512.mid_merged_piano_type0.midchunk0.midi"
"Abbott,_Jane_Bingham/_/Think_of_Today",Think of Today,5106766,"Abbott,_Jane_Bingham",Jane Bingham Abbott,Female,"US pianist, singer and composer",1,2,"../Lieder/scores/Abbott,_Jane_Bingham/_/Think_of_Today/lc6583512.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling-in-symbolic-music/train data/merged piano scores/Abbott,_Jane_Bingham/_/Think_of_Today/lc6583512.mid_merged_piano.mid']","../../author-profiling-in-symbolic-music/train data/merged piano scores/Abbott,_Jane_Bingham/_/Think_of_Today/lc6583512.mid_merged_piano_type0.mid","../../train data/merged piano scores chunks/Abbott,_Jane_Bingham/_/Think_of_Today/lc6583512.mid_merged_piano_type0.midchunk1.midi"
"Abrams,_Harriett/_/Crazy_Jane",Crazy Jane,5106769,"Abrams,_Harriett",Harriett Abrams,Female,"English musician, singer, composer",1,2,"../Lieder/scores/Abrams,_Harriett/_/Crazy_Jane/lc6583907.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling-in-symbolic-music/train data/merged piano scores/Abrams,_Harriett/_/Crazy_Jane/lc6583907.mid_merged_piano.mid']","../../author-profiling-in-symbolic-music/train data/merged piano scores/Abrams,_Harriett/_/Crazy_Jane/lc6583907.mid_merged_piano_type0.mid","../../train data/merged piano scores chunks/Abrams,_Harriett/_/Crazy_Jane/lc6583907.mid_merged_piano_type0.midchunk0.midi"
"Abrams,_Harriett/_/Crazy_Jane",Crazy Jane,5106769,"Abrams,_Harriett",Harriett Abrams,Female,"English musician, singer, composer",1,2,"../Lieder/scores/Abrams,_Harriett/_/Crazy_Jane/lc6583907.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling-in-symbolic-music/train data/merged piano scores/Abrams,_Harriett/_/Crazy_Jane/lc6583907.mid_merged_piano.mid']","../../author-profiling-in-symbolic-music/train data/merged piano scores/Abrams,_Harriett/_/Crazy_Jane/lc6583907.mid_merged_piano_type0.mid","../../train data/merged piano scores chunks/Abrams,_Harriett/_/Crazy_Jane/lc6583907.mid_merged_piano_type0.midchunk1.midi"
"Abrams,_Harriett/_/The_Orphan’s_Prayer",The Orphan’s Prayer,5106769,"Abrams,_Harriett",Harriett Abrams,Female,"English musician, singer, composer",1,2,"../Lieder/scores/Abrams,_Harriett/_/The_Orphan’s_Prayer/lc6583966.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling-in-symbolic-music/train data/merged piano scores/Abrams,_Harriett/_/The_Orphan’s_Prayer/lc6583966.mid_merged_piano.mid']","../../author-profiling-in-symbolic-music/train data/merged piano scores/Abrams,_Harriett/_/The_Orphan’s_Prayer/lc6583966.mid_merged_piano_type0.mid","../../train data/merged piano scores chunks/Abrams,_Harriett/_/The_Orphan’s_Prayer/lc6583966.mid_merged_piano_type0.midchunk0.midi"
"Abrams,_Harriett/_/The_Orphan’s_Prayer",The Orphan’s Prayer,5106769,"Abrams,_Harriett",Harriett Abrams,Female,"English musician, singer, composer",1,2,"../Lieder/scores/Abrams,_Harriett/_/The_Orphan’s_Prayer/lc6583966.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling-in-symbolic-music/train data/merged piano scores/Abrams,_Harriett/_/The_Orphan’s_Prayer/lc6583966.mid_merged_piano.mid']","../../author-profiling-in-symbolic-music/train data/merged piano scores/Abrams,_Harriett/_/The_Orphan’s_Prayer/lc6583966.mid_merged_piano_type0.mid","../../train data/merged piano scores chunks/Abrams,_Harriett/_/The_Orphan’s_Prayer/lc6583966.mid_merged_piano_type0.midchunk1.midi"
"Bantock,_Granville/5_Songs_from_the_Chinese_Poets,_1st_Series/1_The_Old_Fisherman_of_the_Mists_and_Waters",The Old Fisherman of the Mists and Waters,5103566,"Bantock,_Granville",Granville Bantock,Male,British composer and conductor,1,5,"../Lieder/scores/Bantock,_Granville/5_Songs_from_the_Chinese_Poets,_1st_Series/1_The_Old_Fisherman_of_the_Mists_and_Waters/lc6211535.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling-in-symbolic-music/train data/merged piano scores/Bantock,_Granville/5_Songs_from_the_Chinese_Poets,_1st_Series/1_The_Old_Fisherman_of_the_Mists_and_Waters/lc6211535.mid_merged_piano.mid']","../../author-profiling-in-symbolic-music/train data/merged piano scores/Bantock,_Granville/5_Songs_from_the_Chinese_Poets,_1st_Series/1_The_Old_Fisherman_of_the_Mists_and_Waters/lc6211535.mid_merged_piano_type0.mid","../../train data/merged piano scores chunks/Bantock,_Granville/5_Songs_from_the_Chinese_Poets,_1st_Series/1_The_Old_Fisherman_of_the_Mists_and_Waters/lc6211535.mid_merged_piano_type0.midchunk0.midi"
"Bantock,_Granville/5_Songs_from_the_Chinese_Poets,_1st_Series/1_The_Old_Fisherman_of_the_Mists_and_Waters",The Old Fisherman of the Mists and Waters,5103566,"Bantock,_Granville",Granville Bantock,Male,British composer and conductor,1,5,"../Lieder/scores/Bantock,_Granville/5_Songs_from_the_Chinese_Poets,_1st_Series/1_The_Old_Fisherman_of_the_Mists_and_Waters/lc6211535.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling-in-symbolic-music/train data/merged piano scores/Bantock,_Granville/5_Songs_from_the_Chinese_Poets,_1st_Series/1_The_Old_Fisherman_of_the_Mists_and_Waters/lc6211535.mid_merged_piano.mid']","../../author-profiling-in-symbolic-music/train data/merged piano scores/Bantock,_Granville/5_Songs_from_the_Chinese_Poets,_1st_Series/1_The_Old_Fisherman_of_the_Mists_and_Waters/lc6211535.mid_merged_piano_type0.mid","../../train data/merged piano scores chunks/Bantock,_Granville/5_Songs_from_the_Chinese_Poets,_1st_Series/1_The_Old_Fisherman_of_the_Mists_and_Waters/lc6211535.mid_merged_piano_type0.midchunk1.midi"
