,index,composer_name,composer_gender,name,path,set_id,composer_path,desc,sets,scores,scores_paths,track_names,contains_piano_track?,type0_path
2,2,Harriett Abrams,female,Crazy Jane,"Abrams,_Harriett/_/Crazy_Jane",5106769.0,"Abrams,_Harriett","English musician, singer, composer",1.0,2.0,"../Lieder/scores/Abrams,_Harriett/_/Crazy_Jane/lc6583907.mid","['voice', 'piano', 'piano']",True,"../author-profiling-in-symbolic-music/type 0 midis/Abrams,_Harriett/_/Crazy_Jane/lc6583907.mid_type0.mid"
3,3,Harriett Abrams,female,The Orphan’s Prayer,"Abrams,_Harriett/_/The_Orphan’s_Prayer",5106769.0,"Abrams,_Harriett","English musician, singer, composer",1.0,2.0,"../Lieder/scores/Abrams,_Harriett/_/The_Orphan’s_Prayer/lc6583966.mid","['voice', 'piano', 'piano']",True,"../author-profiling-in-symbolic-music/type 0 midis/Abrams,_Harriett/_/The_Orphan’s_Prayer/lc6583966.mid_type0.mid"
4,4,Granville Bantock,male,The Old Fisherman of the Mists and Waters,"Bantock,_Granville/5_Songs_from_the_Chinese_Poets,_1st_Series/1_The_Old_Fisherman_of_the_Mists_and_Waters",5103566.0,"Bantock,_Granville",British composer and conductor,1.0,5.0,"../Lieder/scores/Bantock,_Granville/5_Songs_from_the_Chinese_Poets,_1st_Series/1_The_Old_Fisherman_of_the_Mists_and_Waters/lc6211535.mid","['voice', 'piano', 'piano']",True,"../author-profiling-in-symbolic-music/type 0 midis/Bantock,_Granville/5_Songs_from_the_Chinese_Poets,_1st_Series/1_The_Old_Fisherman_of_the_Mists_and_Waters/lc6211535.mid_type0.mid"
5,5,Granville Bantock,male,The Ghost Road,"Bantock,_Granville/5_Songs_from_the_Chinese_Poets,_1st_Series/2_The_Ghost_Road",5103566.0,"Bantock,_Granville",British composer and conductor,1.0,5.0,"../Lieder/scores/Bantock,_Granville/5_Songs_from_the_Chinese_Poets,_1st_Series/2_The_Ghost_Road/lc6211549.mid","['voice', 'piano', 'piano']",True,"../author-profiling-in-symbolic-music/type 0 midis/Bantock,_Granville/5_Songs_from_the_Chinese_Poets,_1st_Series/2_The_Ghost_Road/lc6211549.mid_type0.mid"
6,6,Granville Bantock,male,Under the Moon,"Bantock,_Granville/5_Songs_from_the_Chinese_Poets,_1st_Series/3_Under_the_Moon",5103566.0,"Bantock,_Granville",British composer and conductor,1.0,5.0,"../Lieder/scores/Bantock,_Granville/5_Songs_from_the_Chinese_Poets,_1st_Series/3_Under_the_Moon/lc6211555.mid","['voice', 'piano', 'piano']",True,"../author-profiling-in-symbolic-music/type 0 midis/Bantock,_Granville/5_Songs_from_the_Chinese_Poets,_1st_Series/3_Under_the_Moon/lc6211555.mid_type0.mid"
7,7,Granville Bantock,male,The Celestial Weaver,"Bantock,_Granville/5_Songs_from_the_Chinese_Poets,_1st_Series/4_The_Celestial_Weaver",5103566.0,"Bantock,_Granville",British composer and conductor,1.0,5.0,"../Lieder/scores/Bantock,_Granville/5_Songs_from_the_Chinese_Poets,_1st_Series/4_The_Celestial_Weaver/lc6211559.mid","['voice', 'piano', 'piano']",True,"../author-profiling-in-symbolic-music/type 0 midis/Bantock,_Granville/5_Songs_from_the_Chinese_Poets,_1st_Series/4_The_Celestial_Weaver/lc6211559.mid_type0.mid"
8,8,Granville Bantock,male,Return of Spring,"Bantock,_Granville/5_Songs_from_the_Chinese_Poets,_1st_Series/5_Return_of_Spring",5103566.0,"Bantock,_Granville",British composer and conductor,1.0,5.0,"../Lieder/scores/Bantock,_Granville/5_Songs_from_the_Chinese_Poets,_1st_Series/5_Return_of_Spring/lc6211561.mid","['voice', 'piano', 'piano']",True,"../author-profiling-in-symbolic-music/type 0 midis/Bantock,_Granville/5_Songs_from_the_Chinese_Poets,_1st_Series/5_Return_of_Spring/lc6211561.mid_type0.mid"
9,9,Charlotte Alington Barnard,female,Farewell to Erin,"Barnard,_Charlotte_Alington_-_aka_Claribel/_/Farewell_to_Erin",5106882.0,"Barnard,_Charlotte_Alington_-_aka_Claribel",British composer and hymnwriter,1.0,5.0,"../Lieder/scores/Barnard,_Charlotte_Alington_-_aka_Claribel/_/Farewell_to_Erin/lc6623221.mid","['voice', 'voice', 'piano', 'piano']",True,"../author-profiling-in-symbolic-music/type 0 midis/Barnard,_Charlotte_Alington_-_aka_Claribel/_/Farewell_to_Erin/lc6623221.mid_type0.mid"
10,10,Charlotte Alington Barnard,female,Five o’clock in the morning,"Barnard,_Charlotte_Alington_-_aka_Claribel/_/Five_o’clock_in_the_morning",5106882.0,"Barnard,_Charlotte_Alington_-_aka_Claribel",British composer and hymnwriter,1.0,5.0,"../Lieder/scores/Barnard,_Charlotte_Alington_-_aka_Claribel/_/Five_o’clock_in_the_morning/lc6623145.mid","['voice', 'piano', 'piano']",True,"../author-profiling-in-symbolic-music/type 0 midis/Barnard,_Charlotte_Alington_-_aka_Claribel/_/Five_o’clock_in_the_morning/lc6623145.mid_type0.mid"
11,11,Charlotte Alington Barnard,female,Milly’s Faith,"Barnard,_Charlotte_Alington_-_aka_Claribel/_/Milly’s_Faith",5106882.0,"Barnard,_Charlotte_Alington_-_aka_Claribel",British composer and hymnwriter,1.0,5.0,"../Lieder/scores/Barnard,_Charlotte_Alington_-_aka_Claribel/_/Milly’s_Faith/lc6622814.mid","['voice', 'piano', 'piano']",True,"../author-profiling-in-symbolic-music/type 0 midis/Barnard,_Charlotte_Alington_-_aka_Claribel/_/Milly’s_Faith/lc6622814.mid_type0.mid"
12,12,Charlotte Alington Barnard,female,Strangers Yet,"Barnard,_Charlotte_Alington_-_aka_Claribel/_/Strangers_Yet",5106882.0,"Barnard,_Charlotte_Alington_-_aka_Claribel",British composer and hymnwriter,1.0,5.0,"../Lieder/scores/Barnard,_Charlotte_Alington_-_aka_Claribel/_/Strangers_Yet/lc6585571.mid","['voice', 'piano', 'piano']",True,"../author-profiling-in-symbolic-music/type 0 midis/Barnard,_Charlotte_Alington_-_aka_Claribel/_/Strangers_Yet/lc6585571.mid_type0.mid"
13,13,Charlotte Alington Barnard,female,The Brook,"Barnard,_Charlotte_Alington_-_aka_Claribel/_/The_Brook",5106882.0,"Barnard,_Charlotte_Alington_-_aka_Claribel",British composer and hymnwriter,1.0,5.0,"../Lieder/scores/Barnard,_Charlotte_Alington_-_aka_Claribel/_/The_Brook/lc6586675.mid","['voice', 'piano', 'piano']",True,"../author-profiling-in-symbolic-music/type 0 midis/Barnard,_Charlotte_Alington_-_aka_Claribel/_/The_Brook/lc6586675.mid_type0.mid"
