path,name,set_id,composer_path,composer_name,composer_gender,desc,sets,scores,scores_paths,piano_scores_paths,contains_piano_track?
"Bizet,_Georges/20_Mélodies,_Op.21/15_Après_l’hiver",Après l’hiver,5079544,"Bizet,_Georges",Georges Bizet,Male,French composer,2,26,"../Lieder/scores/Bizet,_Georges/20_Mélodies,_Op.21/15_Après_l’hiver/lc6902615.mid","../author-profiling-in-symbolic-music/piano scores/Bizet,_Georges/20_Mélodies,_Op.21/15_Après_l’hiver/lc6902615.mid_track_1.mid",True
"Mayer,_Emilie/3_Lieder,_Op.7/2_O_lass_mich_dein_gedenken",O lass mich dein gedenken,5100878,"Mayer,_Emilie",Emilie Mayer,Female,German composer,3,6,"../Lieder/scores/Mayer,_Emilie/3_Lieder,_Op.7/2_O_lass_mich_dein_gedenken/lc5840434.mid","../author-profiling-in-symbolic-music/piano scores/Mayer,_Emilie/3_Lieder,_Op.7/2_O_lass_mich_dein_gedenken/lc5840434.mid_track_1.mid",True
"Beach,_Amy/4_Songs,_Op.51/3_Juni",Juni,5103538,"Beach,_Amy",Amy Beach,Female,American composer and pianist,3,10,"../Lieder/scores/Beach,_Amy/4_Songs,_Op.51/3_Juni/lc6245973.mid","../author-profiling-in-symbolic-music/piano scores/Beach,_Amy/4_Songs,_Op.51/3_Juni/lc6245973.mid_track_2.mid",True
"Bizet,_Georges/20_Mélodies,_Op.21/12_La_chanson_du_fou",La chanson du fou,5079544,"Bizet,_Georges",Georges Bizet,Male,French composer,2,26,"../Lieder/scores/Bizet,_Georges/20_Mélodies,_Op.21/12_La_chanson_du_fou/lc6901197.mid","../author-profiling-in-symbolic-music/piano scores/Bizet,_Georges/20_Mélodies,_Op.21/12_La_chanson_du_fou/lc6901197.mid_track_2.mid",True
"Wolf,_Hugo/Eichendorff-Lieder/17_Seemans_Abschied",Seemans Abschied,5013942,"Wolf,_Hugo",Hugo Wolf,Male,Austrian composer,3,22,"../Lieder/scores/Wolf,_Hugo/Eichendorff-Lieder/17_Seemans_Abschied/lc5052822.mid","../author-profiling-in-symbolic-music/piano scores/Wolf,_Hugo/Eichendorff-Lieder/17_Seemans_Abschied/lc5052822.mid_track_1.mid",True
"Lehmann,_Liza/5_Little_Love_Songs/1_There’s_a_bird_beneath_your_window",There’s a bird beneath your window,5103710,"Lehmann,_Liza",Liza Lehmann,Female,English operatic soprano and composer,5,29,"../Lieder/scores/Lehmann,_Liza/5_Little_Love_Songs/1_There’s_a_bird_beneath_your_window/lc6209594.mid","../author-profiling-in-symbolic-music/piano scores/Lehmann,_Liza/5_Little_Love_Songs/1_There’s_a_bird_beneath_your_window/lc6209594.mid_track_1.mid",True
"Bizet,_Georges/20_Mélodies,_Op.21/04_Adieux_de_l’hôtesse_arabe",Adieux de l’hôtesse arabe,5079544,"Bizet,_Georges",Georges Bizet,Male,French composer,2,26,"../Lieder/scores/Bizet,_Georges/20_Mélodies,_Op.21/04_Adieux_de_l’hôtesse_arabe/lc6878940.mid","../author-profiling-in-symbolic-music/piano scores/Bizet,_Georges/20_Mélodies,_Op.21/04_Adieux_de_l’hôtesse_arabe/lc6878940.mid_track_2.mid",True
"Haydn,_Joseph/10_Canzonets/06_A_Pastoral_Song,_Hob.XXVIa27","A Pastoral Song, Hob.XXVIa:27",5105779,"Haydn,_Joseph",Joseph Haydn,Male,Austrian composer,1,10,"../Lieder/scores/Haydn,_Joseph/10_Canzonets/06_A_Pastoral_Song,_Hob.XXVIa27/lc6465778.mid","../author-profiling-in-symbolic-music/piano scores/Haydn,_Joseph/10_Canzonets/06_A_Pastoral_Song,_Hob.XXVIa27/lc6465778.mid_track_1.mid",True
"Schröter,_Corona/25_Lieder/24_Die_Wachtel",Die Wachtel,5102093,"Schröter,_Corona",Corona Schröter,Female,German musician and singer,1,25,"../Lieder/scores/Schröter,_Corona/25_Lieder/24_Die_Wachtel/lc6054227.mid","../author-profiling-in-symbolic-music/piano scores/Schröter,_Corona/25_Lieder/24_Die_Wachtel/lc6054227.mid_track_2.mid",True
"Grandval,_Clémence_de/6_Nouvelles_mélodies/2_Si_tu_m’aimais!",Si tu m’aimais!,5107148,"Grandval,_Clémence_de",Clémence de Grandval,Female,French composer,3,13,"../Lieder/scores/Grandval,_Clémence_de/6_Nouvelles_mélodies/2_Si_tu_m’aimais!/lc6613436.mid","../author-profiling-in-symbolic-music/piano scores/Grandval,_Clémence_de/6_Nouvelles_mélodies/2_Si_tu_m’aimais!/lc6613436.mid_track_2.mid",True
"Lang,_Josephine/6_Deutsche_Lieder,_Op.11/4_Abschied",Abschied,5106652,"Lang,_Josephine",Josephine Lang,Female,German composer,12,52,"../Lieder/scores/Lang,_Josephine/6_Deutsche_Lieder,_Op.11/4_Abschied/lc6577426.mid","../author-profiling-in-symbolic-music/piano scores/Lang,_Josephine/6_Deutsche_Lieder,_Op.11/4_Abschied/lc6577426.mid_track_2.mid",True
"Lindsay,_Maria/_/Far_Away",Far Away,5107146,"Lindsay,_Maria",Maria Lindsay,Female,British composer,1,2,"../Lieder/scores/Lindsay,_Maria/_/Far_Away/lc6609408.mid","../author-profiling-in-symbolic-music/piano scores/Lindsay,_Maria/_/Far_Away/lc6609408.mid_track_5.mid",True
"Gonzaga,_Chiquinha/_/Roda_Yôyô",Roda Yôyô,5107147,"Gonzaga,_Chiquinha",Chiquinha Gonzaga,Female,Brazilian musician and composer,1,12,"../Lieder/scores/Gonzaga,_Chiquinha/_/Roda_Yôyô/lc6611820.mid","../author-profiling-in-symbolic-music/piano scores/Gonzaga,_Chiquinha/_/Roda_Yôyô/lc6611820.mid_track_1.mid",True
"Parry,_Hubert/_/There_rolls_the_deep",There rolls the deep,5103547,"Parry,_Hubert",Hubert Parry,Male,British composer and musicologist,4,8,"../Lieder/scores/Parry,_Hubert/_/There_rolls_the_deep/lc6210474.mid","../author-profiling-in-symbolic-music/piano scores/Parry,_Hubert/_/There_rolls_the_deep/lc6210474.mid_track_4.mid",True
"Philp,_Elizabeth/_/Bye-and-Bye",Bye-and-Bye,5107080,"Philp,_Elizabeth",Elizabeth Philp,Female,"British singer, music educator and composer",1,2,"../Lieder/scores/Philp,_Elizabeth/_/Bye-and-Bye/lc6605890.mid","../author-profiling-in-symbolic-music/piano scores/Philp,_Elizabeth/_/Bye-and-Bye/lc6605890.mid_track_1.mid",True
"Schumann,_Clara/6_Lieder,_Op.23/1_Was_weinst_du,_Blümlein","Was weinst du, Blümlein",5097034,"Schumann,_Clara",Clara Wieck,Female,German musician and composer,4,17,"../Lieder/scores/Schumann,_Clara/6_Lieder,_Op.23/1_Was_weinst_du,_Blümlein/lc5133647.mid","../author-profiling-in-symbolic-music/piano scores/Schumann,_Clara/6_Lieder,_Op.23/1_Was_weinst_du,_Blümlein/lc5133647.mid_track_1.mid",True
"Sullivan,_Arthur/_/The_Long_Day_Closes",The Long Day Closes,5103593,"Sullivan,_Arthur",Arthur Sullivan,Male,English composer of the Gilbert & Sullivan duo,1,2,"../Lieder/scores/Sullivan,_Arthur/_/The_Long_Day_Closes/lc6205297.mid","../author-profiling-in-symbolic-music/piano scores/Sullivan,_Arthur/_/The_Long_Day_Closes/lc6205297.mid_track_5.mid",True
"Mackenzie,_Alexander/Spring_Songs,_Op.44/6_A_May_Song",A May Song,5105998,"Mackenzie,_Alexander",Alexander Mackenzie,Male,Scottish conductor and composer,3,8,"../Lieder/scores/Mackenzie,_Alexander/Spring_Songs,_Op.44/6_A_May_Song/lc6508651.mid","../author-profiling-in-symbolic-music/piano scores/Mackenzie,_Alexander/Spring_Songs,_Op.44/6_A_May_Song/lc6508651.mid_track_1.mid",True
"Viardot,_Pauline/6_Mélodies,_VWV_1133-11371176/3_Ici-bas_tous_les_lilas_meurent,_VWV_1176","Ici-bas tous les lilas meurent, VWV 1176",5101686,"Viardot,_Pauline",Pauline Viardot,Female,French mezzo-soprano and composer,3,21,"../Lieder/scores/Viardot,_Pauline/6_Mélodies,_VWV_1133-11371176/3_Ici-bas_tous_les_lilas_meurent,_VWV_1176/lc5979580.mid","../author-profiling-in-symbolic-music/piano scores/Viardot,_Pauline/6_Mélodies,_VWV_1133-11371176/3_Ici-bas_tous_les_lilas_meurent,_VWV_1176/lc5979580.mid_track_2.mid",True
"Puget,_Loïsa/_/Le_bon_curé_patience",Le bon curé patience,5107695,"Puget,_Loïsa",Loïsa Puget,Female,French composer,1,3,"../Lieder/scores/Puget,_Loïsa/_/Le_bon_curé_patience/lc6669339.mid","../author-profiling-in-symbolic-music/piano scores/Puget,_Loïsa/_/Le_bon_curé_patience/lc6669339.mid_track_2.mid",True
"Bizet,_Georges/20_Mélodies,_Op.21/09_Pastorale",Pastorale,5079544,"Bizet,_Georges",Georges Bizet,Male,French composer,2,26,"../Lieder/scores/Bizet,_Georges/20_Mélodies,_Op.21/09_Pastorale/lc6898041.mid","../author-profiling-in-symbolic-music/piano scores/Bizet,_Georges/20_Mélodies,_Op.21/09_Pastorale/lc6898041.mid_track_2.mid",True
"Grandval,_Clémence_de/6_Nouvelles_mélodies/4_Mignonne",Mignonne,5107148,"Grandval,_Clémence_de",Clémence de Grandval,Female,French composer,3,13,"../Lieder/scores/Grandval,_Clémence_de/6_Nouvelles_mélodies/4_Mignonne/lc6614717.mid","../author-profiling-in-symbolic-music/piano scores/Grandval,_Clémence_de/6_Nouvelles_mélodies/4_Mignonne/lc6614717.mid_track_2.mid",True
"Gonzaga,_Chiquinha/_/Noivado",Noivado,5107147,"Gonzaga,_Chiquinha",Chiquinha Gonzaga,Female,Brazilian musician and composer,1,12,"../Lieder/scores/Gonzaga,_Chiquinha/_/Noivado/lc6611741.mid","../author-profiling-in-symbolic-music/piano scores/Gonzaga,_Chiquinha/_/Noivado/lc6611741.mid_track_1.mid",True
"Netzel,_Laura/3_Lieder,_Op.44/2_Wunsch",Wunsch,5107692,"Netzel,_Laura",Laura Netzel,Female,"Swedish composer, pianist, conductor",2,7,"../Lieder/scores/Netzel,_Laura/3_Lieder,_Op.44/2_Wunsch/lc6660043.mid","../author-profiling-in-symbolic-music/piano scores/Netzel,_Laura/3_Lieder,_Op.44/2_Wunsch/lc6660043.mid_track_1.mid",True
