path,name,set_id,composer_path,composer_name,composer_gender,desc,sets,scores,scores_paths,track_names,contains_piano_track?,voice_paths,voice_type0_paths
"Brahms,_Johannes/8_Lieder_und_Gesänge,_Op.58/1_Blinde_Kuh",Blinde Kuh,5071706,"Brahms,_Johannes",Johannes Brahms,Male,German composer and pianist,18,110,"../Lieder/scores/Brahms,_Johannes/8_Lieder_und_Gesänge,_Op.58/1_Blinde_Kuh/lc5123355.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling/train data/voice scores/Brahms,_Johannes/8_Lieder_und_Gesänge,_Op.58/1_Blinde_Kuh/lc5123355.mid_voice.mid']","../../author-profiling/train data/voice scores/Brahms,_Johannes/8_Lieder_und_Gesänge,_Op.58/1_Blinde_Kuh/lc5123355.mid_voice_type0.mid"
"Mackenzie,_Alexander/Spring_Songs,_Op.44/6_A_May_Song",A May Song,5105998,"Mackenzie,_Alexander",Alexander Mackenzie,Male,Scottish conductor and composer,3,8,"../Lieder/scores/Mackenzie,_Alexander/Spring_Songs,_Op.44/6_A_May_Song/lc6508651.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling/train data/voice scores/Mackenzie,_Alexander/Spring_Songs,_Op.44/6_A_May_Song/lc6508651.mid_voice.mid']","../../author-profiling/train data/voice scores/Mackenzie,_Alexander/Spring_Songs,_Op.44/6_A_May_Song/lc6508651.mid_voice_type0.mid"
"Grandval,_Clémence_de/_/Chanson_de_Barberine",Chanson de Barberine,5104018,"Grandval,_Clémence_de",Clémence de Grandval,Female,French composer,3,13,"../Lieder/scores/Grandval,_Clémence_de/_/Chanson_de_Barberine/lc6625925.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling/train data/voice scores/Grandval,_Clémence_de/_/Chanson_de_Barberine/lc6625925.mid_voice.mid']","../../author-profiling/train data/voice scores/Grandval,_Clémence_de/_/Chanson_de_Barberine/lc6625925.mid_voice_type0.mid"
"Reichardt,_Louise/12_Deutsche_und_Italiänische_Romantische_Gesänge/05_Poesia_di_Metastasio_(I)",Poesia di Metastasio (I),5002090,"Reichardt,_Louise",Louise Reichardt,Female,German composer,4,43,"../Lieder/scores/Reichardt,_Louise/12_Deutsche_und_Italiänische_Romantische_Gesänge/05_Poesia_di_Metastasio_(I)/lc5100080.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling/train data/voice scores/Reichardt,_Louise/12_Deutsche_und_Italiänische_Romantische_Gesänge/05_Poesia_di_Metastasio_(I)/lc5100080.mid_voice.mid']","../../author-profiling/train data/voice scores/Reichardt,_Louise/12_Deutsche_und_Italiänische_Romantische_Gesänge/05_Poesia_di_Metastasio_(I)/lc5100080.mid_voice_type0.mid"
"Lang,_Josephine/Lieder_des_Leids,_Op.29/1_Leb’_wohl,_leb’_wohl_du_schöne_Welt","Leb’ wohl, leb’ wohl du schöne Welt",5102501,"Lang,_Josephine",Josephine Lang,Female,German composer,12,52,"../Lieder/scores/Lang,_Josephine/Lieder_des_Leids,_Op.29/1_Leb’_wohl,_leb’_wohl_du_schöne_Welt/lc6070235.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling/train data/voice scores/Lang,_Josephine/Lieder_des_Leids,_Op.29/1_Leb’_wohl,_leb’_wohl_du_schöne_Welt/lc6070235.mid_voice.mid']","../../author-profiling/train data/voice scores/Lang,_Josephine/Lieder_des_Leids,_Op.29/1_Leb’_wohl,_leb’_wohl_du_schöne_Welt/lc6070235.mid_voice_type0.mid"
"Lehmann,_Liza/Bird_Songs/4_The_Wren",The Wren,5103535,"Lehmann,_Liza",Liza Lehmann,Female,English operatic soprano and composer,5,29,"../Lieder/scores/Lehmann,_Liza/Bird_Songs/4_The_Wren/lc6421815.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling/train data/voice scores/Lehmann,_Liza/Bird_Songs/4_The_Wren/lc6421815.mid_voice.mid']","../../author-profiling/train data/voice scores/Lehmann,_Liza/Bird_Songs/4_The_Wren/lc6421815.mid_voice_type0.mid"
"Kinkel,_Johanna/6_Lieder,_Op.7/4_Die_Lorelei",Die Lorelei,5103022,"Kinkel,_Johanna",Johanna Kinkel,Female,"German composer and author, editor",8,45,"../Lieder/scores/Kinkel,_Johanna/6_Lieder,_Op.7/4_Die_Lorelei/lc6151982.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling/train data/voice scores/Kinkel,_Johanna/6_Lieder,_Op.7/4_Die_Lorelei/lc6151982.mid_voice.mid']","../../author-profiling/train data/voice scores/Kinkel,_Johanna/6_Lieder,_Op.7/4_Die_Lorelei/lc6151982.mid_voice_type0.mid"
"Mendelssohn,_Felix/6_Gesänge,_Op.86/4_Allnächtlich_im_Traume_seh’_ich_dich,_MWV_K_78","Allnächtlich im Traume seh’ ich dich, MWV K 78",5110240,"Mendelssohn,_Felix",Felix Mendelssohn,Male,"German composer, pianist, organist and conductor of Jewish descent",2,12,"../Lieder/scores/Mendelssohn,_Felix/6_Gesänge,_Op.86/4_Allnächtlich_im_Traume_seh’_ich_dich,_MWV_K_78/lc6994338.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling/train data/voice scores/Mendelssohn,_Felix/6_Gesänge,_Op.86/4_Allnächtlich_im_Traume_seh’_ich_dich,_MWV_K_78/lc6994338.mid_voice.mid']","../../author-profiling/train data/voice scores/Mendelssohn,_Felix/6_Gesänge,_Op.86/4_Allnächtlich_im_Traume_seh’_ich_dich,_MWV_K_78/lc6994338.mid_voice_type0.mid"
"Schumann,_Robert/Dichterliebe,_Op.48/05_Ich_will_meine_Seele_tauchen",Ich will meine Seele tauchen,5003152,"Schumann,_Robert",Robert Schumann,Male,German composer,6,72,"../Lieder/scores/Schumann,_Robert/Dichterliebe,_Op.48/05_Ich_will_meine_Seele_tauchen/lc4978373.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling/train data/voice scores/Schumann,_Robert/Dichterliebe,_Op.48/05_Ich_will_meine_Seele_tauchen/lc4978373.mid_voice.mid']","../../author-profiling/train data/voice scores/Schumann,_Robert/Dichterliebe,_Op.48/05_Ich_will_meine_Seele_tauchen/lc4978373.mid_voice_type0.mid"
"Holmès,_Augusta_Mary_Anne/_/Ogier_le_Danois",Ogier le Danois,5101391,"Holmès,_Augusta_Mary_Anne",Augusta Holmès,Female,French composer,9,73,"../Lieder/scores/Holmès,_Augusta_Mary_Anne/_/Ogier_le_Danois/lc5935864.mid","['voice', 'piano', 'piano']",True,"['../../author-profiling/train data/voice scores/Holmès,_Augusta_Mary_Anne/_/Ogier_le_Danois/lc5935864.mid_voice.mid']","../../author-profiling/train data/voice scores/Holmès,_Augusta_Mary_Anne/_/Ogier_le_Danois/lc5935864.mid_voice_type0.mid"
